"gene_id","Water","Drought","MeanDecreaseAccuracy","MeanDecreaseGini"
"Os06g0554200",1.41705050316284,1.41705050316284,1.41705050316284,0.00866666666666667
"Os02g0766700",1.34406227991274,1.41705050316284,1.40275209380409,0.00933333333333333
"Os04g0197200",1.41705050316284,1.34406227991274,1.38942503594182,0.00866666666666667
"Os04g0401000",1.34406227991274,1.34406227991274,1.34406227991274,0.0106666666666667
"Os07g0666900",1.00100150250438,1.00100150250438,1.00100150250438,0.0146666666666667
"Os02g0475500",1.00100150250438,1.00100150250438,1.00100150250438,0.012
"Os04g0577375",1.00100150250438,1.00100150250438,1.00100150250438,0.012
"Os12g0639600",1.00100150250438,1.00100150250438,1.00100150250438,0.012
"Os03g0123800",1.00100150250438,1.00100150250438,1.00100150250438,0.0106666666666667
"Os06g0712250",1.00100150250438,1.00100150250438,1.00100150250438,0.0106666666666667
"Os07g0155600",1.00100150250438,1.00100150250438,1.00100150250438,0.0106666666666667
"Os07g0438500",1.00100150250438,1.00100150250438,1.00100150250438,0.0106666666666667
"Os08g0550500",1.00100150250438,1.00100150250438,1.00100150250438,0.0106666666666667
"Os03g0708000",1.00100150250438,1.00100150250438,1.00100150250438,0.00933333333333333
"Os04g0546900",1.00100150250438,1.00100150250438,1.00100150250438,0.00933333333333333
"Os12g0114900",1.00100150250438,1.00100150250438,1.00100150250438,0.00933333333333333
"Os02g0595900",1.00100150250438,1.00100150250438,1.00100150250438,0.00866666666666667
"Os04g0632000",1.00100150250438,1.00100150250438,1.00100150250438,0.00866666666666667
"Os01g0555100",1.00100150250438,1.00100150250438,1.00100150250438,0.006
"Os01g0652650",1.00100150250438,1.00100150250438,1.00100150250438,0.006
"Os01g0850700",1.00100150250438,1.00100150250438,1.00100150250438,0.006
"Os02g0532401",1.00100150250438,1.00100150250438,1.00100150250438,0.006
"Os02g0603033",1.00100150250438,1.00100150250438,1.00100150250438,0.006
"Os02g0613900",1.00100150250438,1.00100150250438,1.00100150250438,0.006
"Os02g0747500",1.00100150250438,1.00100150250438,1.00100150250438,0.006
"Os03g0112101",1.00100150250438,1.00100150250438,1.00100150250438,0.006
"Os03g0243900",1.00100150250438,1.00100150250438,1.00100150250438,0.006
"Os03g0335200",1.00100150250438,1.00100150250438,1.00100150250438,0.006
"Os03g0405400",1.00100150250438,1.00100150250438,1.00100150250438,0.006
"Os04g0574100",1.00100150250438,1.00100150250438,1.00100150250438,0.006
"Os04g0598900",1.00100150250438,1.00100150250438,1.00100150250438,0.006
"Os05g0304900",1.00100150250438,1.00100150250438,1.00100150250438,0.006
"Os05g0573400",1.00100150250438,1.00100150250438,1.00100150250438,0.006
"Os07g0194300",1.00100150250438,1.00100150250438,1.00100150250438,0.006
"Os07g0645200",1.00100150250438,1.00100150250438,1.00100150250438,0.006
"Os08g0192300",1.00100150250438,1.00100150250438,1.00100150250438,0.006
"Os08g0525900",1.00100150250438,1.00100150250438,1.00100150250438,0.006
