"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_id","significance"
40.2042401629519,-1.91465147905493,0.386379471965789,-4.95536543210675,7.21944737842411e-07,5.7384258378081e-06,"ENSRNA049471555","Down"
17.9512397683795,-2.10428439265328,0.590352829708762,-3.56445211534158,0.000364617005579263,0.00169916680139418,"Os01g0855700","Down"
36.6619803056437,-1.90500960185681,0.389015851588676,-4.89699736932844,9.73121404869801e-07,7.60454447392175e-06,"Os01g0164800","Down"
360.406229985458,-2.45651904589374,0.131328139203817,-18.7051995161623,4.49049055270327e-78,1.00790129619842e-75,"Os01g0175733","Down"
411.708126151775,-1.22935577573968,0.115954351744193,-10.6020667378811,2.91466751084116e-26,1.15772067238903e-24,"Os01g0898800","Down"
35.8587777650091,-1.33679414897574,0.401345008502572,-3.33078553527639,0.000866012954558048,0.00365384340860155,"Os01g0182100","Down"
1154.41679050274,-1.04440019875146,0.106663411093246,-9.79155071122219,1.22403994462446e-22,4.01124839790547e-21,"Os01g0825500","Down"
15.3150488441261,-2.36071423511091,0.639570495120586,-3.69109309000537,0.000223292391456489,0.00109217089636475,"Os01g0885700","Down"
12.3246157071419,-3.16971618188307,0.757977019528615,-4.18181039822858,2.8919709347303e-05,0.000172330025295212,"Os01g0784200","Down"
1319.09020179389,-1.13971135644815,0.0827120816610661,-13.7792609442283,3.39732285239558e-43,2.72953657922158e-41,"Os01g0678100","Down"
130.57035337351,-1.29520633195169,0.197082252871449,-6.57190748066251,4.96747274838794e-11,6.68658242728031e-10,"Os01g0115566","Down"
81.1067771163469,-1.51944803834248,0.306608710971685,-4.95565841403248,7.20857624665903e-07,5.73139569389272e-06,"Os01g0859500","Down"
39.0852928157517,-1.64209638627692,0.395680521208925,-4.15005616465478,3.32393703893768e-05,0.00019551635482154,"Os01g0528000","Down"
286.660350872351,-1.24705969840646,0.137470362940886,-9.07148036659154,1.17410812215512e-19,3.18360036458956e-18,"Os01g0118066","Down"
94.3523318779749,-1.2370528069498,0.242683537246419,-5.0973907047255,3.44367116198071e-07,2.87967073128257e-06,"Os01g0627800","Down"
20.9913825986666,-2.22113908894561,0.546570948196335,-4.06377085404061,4.82862312174074e-05,0.000274544210908625,"Os01g0748800","Down"
179.50233448484,-1.09533292667709,0.177894481201312,-6.15720577322223,7.40396223684248e-10,8.77215986678434e-09,"Os01g0964800","Down"
172.464014527098,-1.2897078251001,0.189758204977516,-6.7965852925986,1.07127894061315e-11,1.54733604287439e-10,"Os01g0678000","Down"
130.260217846545,-1.15087119996301,0.196589263181373,-5.85419153283677,4.79335967698546e-09,5.15833352453675e-08,"Os01g0275950","Down"
3086.46666395894,-1.53003158750081,0.157414441770193,-9.71976630793815,2.48350811844284e-22,7.98137421564567e-21,"Os01g0357150","Down"
26.0763545087608,-1.60119653689608,0.443585579356436,-3.60966769753682,0.000306589514106217,0.00145237153240166,"Os01g0255100","Down"
518.957201070428,-1.39515995516983,0.115233330818656,-12.1072605057768,9.66690971321435e-34,5.53420796759949e-32,"Os01g0666600","Down"
18.2452519740344,-1.50185443286935,0.537258493958138,-2.79540379493073,0.00518349269573392,0.017410256167227,"Os01g0915401","Down"
18.0611355608225,-1.41029930705655,0.530011018041862,-2.66088677225415,0.00779351604176561,0.0247371972140486,"Os01g0837100","Down"
610.964542978614,-3.41263735329467,0.121491796138914,-28.0894468741959,1.31818992626001e-173,1.43383574248306e-170,"Os01g0279400","Down"
81.766490348794,-1.19538658413271,0.26272991411925,-4.54986859086834,5.36794279279744e-06,3.68920510627228e-05,"Os01g0158400","Down"
